"","temp"
"1","subject"
"2","activityName"
"3","timeBodyAccMeanX"
"4","timeBodyAccMeanY"
"5","timeBodyAccMeanZ"
"6","timeBodyAccStdX"
"7","timeBodyAccStdY"
"8","timeBodyAccStdZ"
"9","timeGravityAccMeanX"
"10","timeGravityAccMeanY"
"11","timeGravityAccMeanZ"
"12","timeGravityAccStdX"
"13","timeGravityAccStdY"
"14","timeGravityAccStdZ"
"15","timeBodyAccJerkMeanX"
"16","timeBodyAccJerkMeanY"
"17","timeBodyAccJerkMeanZ"
"18","timeBodyAccJerkStdX"
"19","timeBodyAccJerkStdY"
"20","timeBodyAccJerkStdZ"
"21","timeBodyGyroMeanX"
"22","timeBodyGyroMeanY"
"23","timeBodyGyroMeanZ"
"24","timeBodyGyroStdX"
"25","timeBodyGyroStdY"
"26","timeBodyGyroStdZ"
"27","timeBodyGyroJerkMeanX"
"28","timeBodyGyroJerkMeanY"
"29","timeBodyGyroJerkMeanZ"
"30","timeBodyGyroJerkStdX"
"31","timeBodyGyroJerkStdY"
"32","timeBodyGyroJerkStdZ"
"33","timeBodyAccMagnitudeMean"
"34","timeBodyAccMagnitudeStd"
"35","timeGravityAccMagnitudeMean"
"36","timeGravityAccMagnitudeStd"
"37","timeBodyAccJerkMagnitudeMean"
"38","timeBodyAccJerkMagnitudeStd"
"39","timeBodyGyroMagnitudeMean"
"40","timeBodyGyroMagnitudeStd"
"41","timeBodyGyroJerkMagnitudeMean"
"42","timeBodyGyroJerkMagnitudeStd"
"43","freqBodyAccMeanX"
"44","freqBodyAccMeanY"
"45","freqBodyAccMeanZ"
"46","freqBodyAccStdX"
"47","freqBodyAccStdY"
"48","freqBodyAccStdZ"
"49","freqBodyAccMeanFreqX"
"50","freqBodyAccMeanFreqY"
"51","freqBodyAccMeanFreqZ"
"52","freqBodyAccJerkMeanX"
"53","freqBodyAccJerkMeanY"
"54","freqBodyAccJerkMeanZ"
"55","freqBodyAccJerkStdX"
"56","freqBodyAccJerkStdY"
"57","freqBodyAccJerkStdZ"
"58","freqBodyAccJerkMeanFreqX"
"59","freqBodyAccJerkMeanFreqY"
"60","freqBodyAccJerkMeanFreqZ"
"61","freqBodyGyroMeanX"
"62","freqBodyGyroMeanY"
"63","freqBodyGyroMeanZ"
"64","freqBodyGyroStdX"
"65","freqBodyGyroStdY"
"66","freqBodyGyroStdZ"
"67","freqBodyGyroMeanFreqX"
"68","freqBodyGyroMeanFreqY"
"69","freqBodyGyroMeanFreqZ"
"70","freqBodyAccMagnitudeMean"
"71","freqBodyAccMagnitudeStd"
"72","freqBodyAccMagnitudeMeanFreq"
"73","freqBodyBodyAccJerkMagnitudeMean"
"74","freqBodyBodyAccJerkMagnitudeStd"
"75","freqBodyBodyAccJerkMagnitudeMeanFreq"
"76","freqBodyBodyGyroMagnitudeMean"
"77","freqBodyBodyGyroMagnitudeStd"
"78","freqBodyBodyGyroMagnitudeMeanFreq"
"79","freqBodyBodyGyroJerkMagnitudeMean"
"80","freqBodyBodyGyroJerkMagnitudeStd"
"81","freqBodyBodyGyroJerkMagnitudeMeanFreq"
"82","angletBodyAccMean,gravity"
"83","angletBodyAccJerkMean,gravityMean"
"84","angletBodyGyroMean,gravityMean"
"85","angletBodyGyroJerkMean,gravityMean"
"86","angleX,gravityMean"
"87","angleY,gravityMean"
"88","angleZ,gravityMean"
